wavenumber / cm-1,Absorbance
3966.855,0.001368901
3966.735,0.001403271
3966.615,0.001397255
3966.494,0.001354875
3966.373,0.001286145
3966.253,0.001206428
3966.132,0.001132506
3966.012,0.001078492
3965.891,0.001053348
3965.771,0.001057932
3965.65,0.001086498
3965.53,0.001126659
3965.409,0.0011639
3965.289,0.001186559
3965.168,0.001187157
3965.048,0.001165595
3964.927,0.001128453
3964.806,0.001087096
3964.686,0.001053049
3964.565,0.001034848
3964.445,0.00103518
3964.324,0.001050525
3964.204,0.001071251
3964.083,0.001085202
3963.963,0.001082944
3963.842,0.00105843
3963.722,0.001012364
3963.601,0.000950296
3963.481,0.0008815306
3963.36,0.0008159296
3963.24,0.0007605617
3963.119,0.0007199364
3962.999,0.0006948794
3962.878,0.0006846911
3962.758,0.0006877111
3962.637,0.0007031099
3962.516,0.0007308225
3962.396,0.0007709841
3962.275,0.0008230337
3962.155,0.0008860792
3962.034,0.0009565721
3961.914,0.001030199
3961.793,0.001102343
3961.673,0.001167455
3961.552,0.001221446
3961.432,0.001261454
3961.311,0.001285979
3961.191,0.001295749
3961.07,0.001293755
3960.949,0.001284782
3960.829,0.001274281
3960.708,0.00126717
3960.588,0.001266704
3960.468,0.001273218
3960.347,0.001284483
3960.226,0.001296447
3960.106,0.00130532
3959.985,0.001309042
3959.865,0.001308345
3959.744,0.001306284
3959.624,0.001307979
3959.503,0.001317816
3959.383,0.001338024
3959.262,0.001368236
3959.142,0.001404967
3959.021,0.001443329
3958.901,0.001477605
3958.78,0.001502308
3958.659,0.001513779
3958.539,0.001508892
3958.418,0.001485418
3958.298,0.001442664
3958.177,0.001380767
3958.057,0.00130193
3957.936,0.00121078
3957.816,0.001114069
3957.695,0.001020567
3957.575,0.0009388067
3957.454,0.000877812
3957.334,0.0008438819
3957.213,0.0008406284
3957.093,0.0008680842
3956.972,0.000923167
3956.852,0.0009997435
3956.731,0.001089653
3956.611,0.001184067
3956.49,0.001275045
3956.369,0.001356138
3956.249,0.001423383
3956.128,0.001475211
3956.008,0.001511452
3955.887,0.001532433
3955.767,0.001538086
3955.646,0.001527811
3955.526,0.001500845
3955.405,0.001458156
3955.285,0.001403437
3955.164,0.001343042
3955.044,0.00128548
3954.923,0.001239223
3954.802,0.001208521
3954.682,0.001193536
3954.562,0.001188586
3954.441,0.001184499
3954.321,0.001171176
3954.2,0.001141542
3954.079,0.001093208
3953.959,0.001028936
3953.838,0.0009550114
3953.718,0.0008785757
3953.597,0.0008051409
3953.477,0.0007383567
3953.356,0.0006792486
3953.236,0.0006297712
3953.115,0.000592277
3952.995,0.0005717396
3952.874,0.0005736639
3952.754,0.0006018328
3952.633,0.0006563509
3952.512,0.0007327144
3952.392,0.0008223366
3952.271,0.0009154305
3952.151,0.001003131
3952.031,0.00108002
3951.91,0.001144332
3951.789,0.001195928
3951.669,0.001235535
3951.548,0.001261454
3951.428,0.001270725
3951.307,0.001259992
3951.187,0.001228989
3951.066,0.001182173
3950.946,0.001129283
3950.825,0.001083608
3950.705,0.001058497
3950.584,0.001061054
3950.464,0.001090351
3950.343,0.001136326
3950.222,0.001182539
3950.102,0.00121078
3949.981,0.001207857
3949.861,0.001169415
3949.74,0.001101612
3949.62,0.001018043
3949.499,0.0009354529
3949.379,0.0008692463
3949.258,0.0008273825
3949.138,0.0008111825
3949.017,0.0008143362
3948.897,0.0008274157
3948.776,0.0008403628
3948.656,0.0008452762
3948.535,0.0008389685
3948.415,0.0008220046
3948.294,0.0007983359
3948.174,0.0007735068
3948.053,0.0007533922
3947.932,0.000742771
3947.812,0.0007440987
3947.691,0.0007567778
3947.571,0.0007767597
3947.45,0.0007981368
3947.33,0.0008137719
3947.209,0.0008171579
3947.089,0.0008072655
3946.968,0.0007880456
3946.848,0.0007700547
3946.727,0.0007667686
3946.607,0.0007921949
3946.486,0.0008550367
3946.365,0.0009554431
3946.245,0.001083143
3946.125,0.001220051
3946.004,0.001345734
3945.884,0.001440503
3945.763,0.001493431
3945.642,0.001502142
3945.522,0.001473715
3945.401,0.001419759
3945.281,0.001353013
3945.16,0.001284583
3945.04,0.001222044
3944.919,0.001169881
3944.799,0.001132007
3944.678,0.001112042
3944.558,0.001112773
3944.437,0.001134599
3944.317,0.001173601
3944.196,0.001220317
3944.075,0.001260856
3943.955,0.00128229
3943.834,0.001275344
3943.714,0.00123919
3943.593,0.001182074
3943.473,0.001118786
3943.352,0.001066501
3943.232,0.001037539
3943.111,0.001036974
3942.991,0.001060822
