wavenumber / cm-1,Absorbance
3967.94,-0.001830867
3967.82,-0.001842744
3967.699,-0.00188448
3967.579,-0.001947058
3967.458,-0.002019852
3967.338,-0.002092897
3967.217,-0.002159402
3967.097,-0.002216139
3966.976,-0.002263013
3966.855,-0.002302665
3966.735,-0.002338588
3966.615,-0.002374344
3966.494,-0.002410987
3966.373,-0.002447066
3966.253,-0.002478366
3966.132,-0.002498824
3966.012,-0.002502975
3965.891,-0.002489205
3965.771,-0.002459751
3965.65,-0.002421201
3965.53,-0.00238222
3965.409,-0.002349628
3965.289,-0.00232623
3965.168,-0.002309289
3965.048,-0.002292909
3964.927,-0.002271188
3964.806,-0.002241423
3964.686,-0.002205986
3964.565,-0.002171864
3964.445,-0.002147928
3964.324,-0.002140774
3964.204,-0.002152149
3964.083,-0.002178788
3963.963,-0.00221426
3963.842,-0.002251575
3963.722,-0.002285822
3963.601,-0.002315024
3963.481,-0.002339214
3963.36,-0.00235846
3963.24,-0.002371444
3963.119,-0.002375629
3962.999,-0.002368116
3962.878,-0.002348112
3962.758,-0.002317957
3962.637,-0.002282296
3962.516,-0.002246664
3962.396,-0.002214952
3962.275,-0.002188019
3962.155,-0.002164149
3962.034,-0.002140807
3961.914,-0.002116968
3961.793,-0.002094875
3961.673,-0.002078783
3961.552,-0.002073013
3961.432,-0.002078751
3961.311,-0.002092402
3961.191,-0.002106251
3961.07,-0.002111
3960.949,-0.002100019
3960.829,-0.002071463
3960.708,-0.00203024
3960.588,-0.001986342
3960.468,-0.001951511
3960.347,-0.001935744
3960.226,-0.001945772
3960.106,-0.001983704
3959.985,-0.002046994
3959.865,-0.00212986
3959.744,-0.002223754
3959.624,-0.002316804
3959.503,-0.002395137
3959.383,-0.002445287
3959.262,-0.002456028
3959.142,-0.002422256
3959.021,-0.002347519
3958.901,-0.002244357
3958.78,-0.002131608
3958.659,-0.002029284
3958.539,-0.001954018
3958.418,-0.001915523
3958.298,-0.00191417
3958.177,-0.001943858
3958.057,-0.001994687
3957.936,-0.002057085
3957.816,-0.002123364
3957.695,-0.002188117
3957.575,-0.002248312
3957.454,-0.002301313
3957.334,-0.002344454
3957.213,-0.002375629
3957.093,-0.002392831
3956.972,-0.002394709
3956.852,-0.002380869
3956.731,-0.002350123
3956.611,-0.002302137
3956.49,-0.002237039
3956.369,-0.002157984
3956.249,-0.002071792
3956.128,-0.001989806
3956.008,-0.001926046
3955.887,-0.001892694
3955.767,-0.001896818
3955.646,-0.001937525
3955.526,-0.002006494
3955.405,-0.002089764
3955.285,-0.002172227
3955.164,-0.002243598
3955.044,-0.002297194
3954.923,-0.002331239
3954.802,-0.002346234
3954.682,-0.00234195
3954.562,-0.002317759
3954.441,-0.002273363
3954.321,-0.002211128
3954.2,-0.0021384
3954.079,-0.002065197
3953.959,-0.002002306
3953.838,-0.001956294
3953.718,-0.001926046
3953.597,-0.001902789
3953.477,-0.001874186
3953.356,-0.00182991
3953.236,-0.001766753
3953.115,-0.001690121
3952.995,-0.001612849
3952.874,-0.001549001
3952.754,-0.001507927
3952.633,-0.001490856
3952.512,-0.001491153
3952.392,-0.001499771
3952.271,-0.001509314
3952.151,-0.001518856
3952.031,-0.001533417
3951.91,-0.001561117
3951.789,-0.001608261
3951.669,-0.001675467
3951.548,-0.00175715
3951.428,-0.001843965
3951.307,-0.001927233
3951.187,-0.002001712
3951.066,-0.002067308
3950.946,-0.002125673
3950.825,-0.00217859
3950.705,-0.002223589
3950.584,-0.002255465
3950.464,-0.002267727
3950.343,-0.002257542
3950.222,-0.002227248
